month,level_1,level_2,value
1964-02,All Items,Housing & Utilities,23.877
1964-02,All Items,Household Durables And Services,32.689
1964-02,All Items,Health Care,19.863
1964-02,All Items,Transport,20.389
1964-02,All Items,Communication,87.887
1964-02,All Items,Recreation & Culture,51.022
1964-02,All Items,Education,18.026
1964-02,All Items,Miscellaneous Goods & Services,18.855
1964-03,All Items,Food,25.635
1964-03,All Items,Food Excl Food Servicing Services,na
1964-03,All Items,Food Servicing Services,na
1964-03,All Items,Clothing & Footwear,54.447
1964-03,All Items,Housing & Utilities,23.928
1964-03,All Items,Household Durables And Services,32.671
1964-03,All Items,Health Care,19.863
1964-03,All Items,Transport,20.389
1964-03,All Items,Communication,87.887
1964-03,All Items,Recreation & Culture,51.022
1964-03,All Items,Education,18.026
1964-03,All Items,Miscellaneous Goods & Services,18.855
1964-04,All Items,Food,25.054
1964-04,All Items,Food Excl Food Servicing Services,na
1964-04,All Items,Food Servicing Services,na
1964-04,All Items,Clothing & Footwear,54.469
1964-04,All Items,Housing & Utilities,23.928
1964-04,All Items,Household Durables And Services,32.757
1964-04,All Items,Health Care,19.863
1964-04,All Items,Transport,20.389
1964-04,All Items,Communication,87.887
1964-04,All Items,Recreation & Culture,51.022
1964-04,All Items,Education,18.026
1964-04,All Items,Miscellaneous Goods & Services,18.855
1964-05,All Items,Food,25.083
1964-05,All Items,Food Excl Food Servicing Services,na
1964-05,All Items,Food Servicing Services,na
1964-05,All Items,Clothing & Footwear,54.528
1964-05,All Items,Housing & Utilities,23.829
1964-05,All Items,Household Durables And Services,32.757
1964-05,All Items,Health Care,19.863
1964-05,All Items,Transport,20.389
1964-05,All Items,Communication,87.887
1964-05,All Items,Recreation & Culture,51.022
1964-05,All Items,Education,18.026
1964-05,All Items,Miscellaneous Goods & Services,18.853
1964-06,All Items,Food,24.954
1964-06,All Items,Food Excl Food Servicing Services,na
1964-06,All Items,Food Servicing Services,na
1964-06,All Items,Clothing & Footwear,54.469
1964-06,All Items,Housing & Utilities,23.829
1964-06,All Items,Household Durables And Services,32.757
1964-06,All Items,Health Care,19.863
1964-06,All Items,Transport,20.389
1964-06,All Items,Communication,87.887
1964-06,All Items,Recreation & Culture,51.022
1964-06,All Items,Education,18.026
1964-06,All Items,Miscellaneous Goods & Services,18.853
1964-07,All Items,Food,25.154
1964-07,All Items,Food Excl Food Servicing Services,na
1964-07,All Items,Food Servicing Services,na
1964-07,All Items,Clothing & Footwear,54.587
1964-07,All Items,Housing & Utilities,23.829
1964-07,All Items,Household Durables And Services,32.757
1964-07,All Items,Health Care,19.863
1964-07,All Items,Transport,20.389
1964-07,All Items,Communication,87.887
1964-07,All Items,Recreation & Culture,51.022
1964-07,All Items,Education,18.026
1964-07,All Items,Miscellaneous Goods & Services,18.856
1964-08,All Items,Food,25.793
1964-08,All Items,Food Excl Food Servicing Services,na
1964-08,All Items,Food Servicing Services,na
1964-08,All Items,Clothing & Footwear,54.528
1964-08,All Items,Housing & Utilities,24.146
1964-08,All Items,Household Durables And Services,32.872
1964-08,All Items,Health Care,19.863
1964-08,All Items,Transport,20.389
1964-08,All Items,Communication,87.887
1964-08,All Items,Recreation & Culture,51.022
1964-08,All Items,Education,18.026
1964-08,All Items,Miscellaneous Goods & Services,18.856
1964-09,All Items,Food,25.606
1964-09,All Items,Food Excl Food Servicing Services,na
1964-09,All Items,Food Servicing Services,na
1964-09,All Items,Clothing & Footwear,54.587
1964-09,All Items,Housing & Utilities,24.421
1964-09,All Items,Household Durables And Services,32.872
1964-09,All Items,Health Care,19.863
1964-09,All Items,Transport,20.389
1964-09,All Items,Communication,87.887
1964-09,All Items,Recreation & Culture,51.022
1964-09,All Items,Education,18.026
1964-09,All Items,Miscellaneous Goods & Services,18.856
1964-10,All Items,Food,25.305
1964-10,All Items,Food Excl Food Servicing Services,na
1964-10,All Items,Food Servicing Services,na
1964-10,All Items,Clothing & Footwear,54.587
1964-10,All Items,Housing & Utilities,24.521
1964-10,All Items,Household Durables And Services,32.872
1964-10,All Items,Health Care,19.863
1964-10,All Items,Transport,20.389
1964-10,All Items,Communication,87.887
1964-10,All Items,Recreation & Culture,51.022
1964-10,All Items,Education,18.026
1964-10,All Items,Miscellaneous Goods & Services,18.856
1964-11,All Items,Food,25.201
1964-11,All Items,Food Excl Food Servicing Services,na
1964-11,All Items,Food Servicing Services,na
1964-11,All Items,Clothing & Footwear,54.716
1964-11,All Items,Housing & Utilities,24.736
1964-11,All Items,Household Durables And Services,32.872
1964-11,All Items,Health Care,19.863
1964-11,All Items,Transport,20.389
1964-11,All Items,Communication,131.831
1964-11,All Items,Recreation & Culture,51.022
1964-11,All Items,Education,18.026
1964-11,All Items,Miscellaneous Goods & Services,18.856
1964-12,All Items,Food,25.562
1964-12,All Items,Food Excl Food Servicing Services,na
1964-12,All Items,Food Servicing Services,na
1964-12,All Items,Clothing & Footwear,54.766
1964-12,All Items,Housing & Utilities,24.736
1964-12,All Items,Household Durables And Services,32.859
1964-12,All Items,Health Care,19.863
1964-12,All Items,Transport,20.389
1964-12,All Items,Communication,131.831
1964-12,All Items,Recreation & Culture,51.022
1964-12,All Items,Education,18.026
1964-12,All Items,Miscellaneous Goods & Services,19.146
1965-01,All Items,Food,25.68
1965-01,All Items,Food Excl Food Servicing Services,na
1965-01,All Items,Food Servicing Services,na
1965-01,All Items,Clothing & Footwear,55.079
1965-01,All Items,Housing & Utilities,24.736
1965-01,All Items,Household Durables And Services,32.859
1965-01,All Items,Health Care,19.863
1965-01,All Items,Transport,20.389
1965-01,All Items,Communication,131.831
1965-01,All Items,Recreation & Culture,51.022
1965-01,All Items,Education,17.609
1965-01,All Items,Miscellaneous Goods & Services,19.143
1965-02,All Items,Food,25.539
1965-02,All Items,Food Excl Food Servicing Services,na
1965-02,All Items,Food Servicing Services,na
1965-02,All Items,Clothing & Footwear,55.079
1965-02,All Items,Housing & Utilities,24.736
1965-02,All Items,Household Durables And Services,32.859
1965-02,All Items,Health Care,19.863
1965-02,All Items,Transport,20.389
1965-02,All Items,Communication,131.831
1965-02,All Items,Recreation & Culture,51.022
1965-02,All Items,Education,17.609
1965-02,All Items,Miscellaneous Goods & Services,19.157
1965-03,All Items,Food,25.283
1965-03,All Items,Food Excl Food Servicing Services,na
1965-03,All Items,Food Servicing Services,na
1965-03,All Items,Clothing & Footwear,54.857
1965-03,All Items,Housing & Utilities,24.625
1965-03,All Items,Household Durables And Services,32.859
1965-03,All Items,Health Care,19.863
1965-03,All Items,Transport,20.389
1965-03,All Items,Communication,131.831
1965-03,All Items,Recreation & Culture,51.022
1965-03,All Items,Education,17.609
1965-03,All Items,Miscellaneous Goods & Services,19.159
1965-04,All Items,Food,24.638
1965-04,All Items,Food Excl Food Servicing Services,na
1965-04,All Items,Food Servicing Services,na
1965-04,All Items,Clothing & Footwear,54.916
1965-04,All Items,Housing & Utilities,24.625
1965-04,All Items,Household Durables And Services,33.126
1965-04,All Items,Health Care,19.863
1965-04,All Items,Transport,20.389
1965-04,All Items,Communication,131.831
1965-04,All Items,Recreation & Culture,51.022
1965-04,All Items,Education,17.609
1965-04,All Items,Miscellaneous Goods & Services,19.157
1965-05,All Items,Food,24.984
1965-05,All Items,Food Excl Food Servicing Services,na
1965-05,All Items,Food Servicing Services,na
1965-05,All Items,Clothing & Footwear,54.805
1965-05,All Items,Housing & Utilities,24.625
1965-05,All Items,Household Durables And Services,33.126
1965-05,All Items,Health Care,19.863
1965-05,All Items,Transport,20.389
1965-05,All Items,Communication,131.831
1965-05,All Items,Recreation & Culture,51.022
1965-05,All Items,Education,17.609
1965-05,All Items,Miscellaneous Goods & Services,19.153
1965-06,All Items,Food,25.153
1965-06,All Items,Food Excl Food Servicing Services,na
1965-06,All Items,Food Servicing Services,na
1965-06,All Items,Clothing & Footwear,54.746
1965-06,All Items,Housing & Utilities,24.595
1965-06,All Items,Household Durables And Services,33.126
1965-06,All Items,Health Care,19.863
1965-06,All Items,Transport,20.389
1965-06,All Items,Communication,131.831
1965-06,All Items,Recreation & Culture,51.022
1965-06,All Items,Education,17.609
1965-06,All Items,Miscellaneous Goods & Services,19.153
1965-07,All Items,Food,24.885
1965-07,All Items,Food Excl Food Servicing Services,na
1965-07,All Items,Food Servicing Services,na
1965-07,All Items,Clothing & Footwear,54.537
1965-07,All Items,Housing & Utilities,24.595
